minute,requests,active_functions,active_pods,avg_cpu,avg_memory
43368,1137836,510,2479,0.16130771685633274,254.62003115294195
43369,1186607,490,2435,0.15579684943537134,253.94541243809599
43370,1048226,500,2450,0.1735543305384,251.81493682247196
43371,1253182,508,2452,0.15793689922849935,247.2474491038902
43372,1069732,500,2400,0.17135137139391046,250.82583951837375
43373,1144527,497,2442,0.16395712060001572,241.65183236045064
43374,1031963,500,2430,0.17386325203320313,263.39098336875867
43375,1078109,496,2442,0.16786893065818503,266.00028326544833
43376,1047605,498,2440,0.17381375836306429,256.9850889102028
43377,1104360,493,2432,0.16372172789211664,260.7603146671711
43378,1104207,480,2371,0.165017233113869,258.5840754574571
43379,1257062,490,2420,0.15553915834458146,244.46044431150048
43380,1187208,560,2585,0.15959548595273665,251.37247563088494
43381,1275851,520,2606,0.1584219378704617,234.49172732036763
43382,1010608,535,2575,0.1759465070571078,253.18114398422412
43383,1116729,556,2510,0.15699296302412558,257.0298360318589
43384,1034452,552,2522,0.17467686965753038,266.50144834418757
43385,1017861,527,2514,0.17639744034102936,254.91227842460378
43386,1031323,552,2534,0.17590794351427222,247.94056522582835
43387,1025913,541,2512,0.17463863800143062,266.5444328426411
43388,1008542,536,2503,0.17860542485485273,275.3023552299478
43389,1026040,537,2467,0.17691965023581327,260.249391383115
43390,1019875,517,2474,0.17566202629240937,244.06001925661278
43391,1019320,517,2496,0.17595822424062527,255.43581801839613
43392,1048888,525,2516,0.17406893609131394,256.32156480539766
43393,1039542,503,2531,0.1728030417039178,258.7007096512518
43394,1034976,493,2484,0.17435947901008111,262.87196326524423
43395,1181655,521,2553,0.1668927691830228,244.6292871380412
43396,1084853,520,2613,0.17416675426710684,252.07371663209707
43397,1023392,501,2586,0.1747674832087522,260.1297351390093
43398,1010241,499,2486,0.17614529888309072,249.48265018460182
43399,1036056,487,2418,0.17301690718066312,260.36400440402804
43400,1023143,521,2461,0.17520997487930565,244.40768749982524
43401,1068075,528,2478,0.16859969488282806,249.57762486423198
43402,1076010,508,2460,0.16705136784692035,257.5685593330302
43403,1173696,517,2482,0.1607354952040114,244.51852681421195
