funcName,invocations,pods,users,avg_cpu,avg_memory,avg_runtime,category
1333,13115,102,3,0.25817864613038205,20.235571747845988,0.1651094250857801,Hot
134,12983,165,2,0.24678672256027107,31.653508732188246,0.1731475859200496,Hot
1980,12960,1,1,0.09174885038580266,25.727572834413678,0.0007885869598765433,Hot
1090,12851,7,2,0.1650979067776761,44.53766121671464,0.0037752237179986036,Hot
2231,12230,100,1,0.8409735015535564,207.22885667538816,0.015523920032706489,Hot
1502,12164,6,5,0.25741651216704586,39.61670865422529,0.06347354776389362,Hot
379,12120,373,4,0.18802674092408334,38.01602174447197,0.05618165990099001,Hot
950,11946,243,3,0.10780231098275582,34.479003773480535,0.17179379172944928,Hot
7,11611,559,5,0.15612282852467466,45.59791598311949,0.022649681422788722,Hot
1582,11447,3,2,0.05522324390670038,52.80416744343493,0.30919501799598115,Hot
587,11387,544,3,0.028230399929744455,37.42481626135065,5.199578466672521e-05,Hot
1029,11349,339,2,0.13261392087408444,44.867938206626015,0.007426458983170331,Hot
20,10857,605,4,0.514375348254582,525.692788561205,0.08167925191120967,Hot
384,10360,86,3,0.10339997316602402,28.253951493339667,0.0012624588803088774,Hot
1638,10101,2,2,0.19903664221363082,99.58406503544208,0.33632262498762466,Hot
1565,10079,2,1,0.15229795922214034,47.610466378212124,0.0008094624466712974,Hot
334,10007,14,3,1.1777366282601884,439.0056281186109,0.000101708404117118,Hot
1267,9690,101,2,1.4364170565531462,2418.6849754288887,7.628360615686277,Hot
313,9182,32,3,0.06289173284687434,41.200435048355494,0.25270212219560023,Hot
1188,8970,3,1,0.23133712686733146,39.1719529166108,0.04149612865105897,Hot
2303,8821,13,5,0.25067537047953603,35.38525232399939,0.062213237161319566,Hot
1551,8786,10,3,1.1467924276120425,423.7482523992623,0.0001081547917140906,Hot
71,8756,76,5,0.11961845089081788,34.23660023423985,0.20920868558702566,Hot
1853,8659,8,2,0.18793488000923889,114.42262337683329,0.03992512645802048,Hot
967,8655,7,2,0.12860797746967104,46.50585109312543,0.2617837646447141,Hot
577,8642,3,2,0.1219922196250881,26.617654476857457,0.0009617802591992613,Hot
2145,8551,108,3,0.0932861496900948,23.809043715588807,0.030188509647994383,Hot
1664,8208,312,2,0.2625675863791356,58.29838457175924,0.45853996442495176,Hot
387,7849,708,3,1.1358342400305759,339.836821319531,4.651572172251251,Hot
1,7727,200,4,0.23745187808980445,63.47675258975028,0.0069186822829041044,Hot
6089,7718,157,1,0.1857329334024346,32.890494411246394,0.0,Hot
1283,6998,103,3,0.7061573312374964,326.6477209797081,0.07428548742497856,Hot
