funcName,mean_requests,std_requests,cv,stability
278,1.0997920997920998,0.43591374149112344,0.3963601316771841,Noisy
2289,1.98,0.1414213562373095,0.07142492739258056,Stable
51,1.003474635163308,0.0790355055869329,0.0787618369387787,Stable
1869,1.0013888888888889,0.05270462766947299,0.052631528324577743,Stable
991,2.0166666666666666,0.12806357003774743,0.06350259671293261,Stable
1140,2.0180555555555557,0.14325355613411442,0.07098593284002916,Stable
919,2.0180555555555557,0.13831748725214293,0.06853997991847413,Stable
1296,2.0180555555555557,0.13831748725214288,0.0685399799184741,Stable
389,2.0194444444444444,0.14307152692838737,0.07084697344459348,Stable
954,2.017361111111111,0.13065817303496724,0.06476687406896826,Stable
36,2.1284722222222223,0.4840992429860709,0.22743977484500555,Noisy
1173,2.1131944444444444,0.44154421797254517,0.20894632726929513,Noisy
2017,2.0194444444444444,0.1478489630769976,0.07321269148241973,Stable
1704,1.0,0.0,0.0,Stable
144,1.9881944444444444,0.1258723709019049,0.06330988966075551,Stable
1186,15.556270096463022,51.72069818117839,3.324749304329574,Noisy
1724,1.0,0.0,0.0,Stable
1776,4.7505255781359494,2.335347490266063,0.49159770889654403,Noisy
2134,289.8652777777778,171.29788630916653,0.5909569011590629,Noisy
1496,1.0,0.0,0.0,Stable
1839,2.0384615384615383,0.4454902226329311,0.21854237336709828,Noisy
456,1.98,0.1414213562373095,0.07142492739258056,Stable
2300,1.96,0.20000000000000007,0.10204081632653064,Stable
1220,1.199018920812894,0.39940227648779275,0.33310756782471085,Noisy
858,5.3598901098901095,4.2412964186854225,0.7913028684784694,Noisy
1804,1.0,0.0,0.0,Stable
373,2.0344827586206895,0.42111744380615784,0.20698993000641658,Noisy
2026,5.3157162726008345,4.249747232548841,0.799468409262851,Noisy
1925,1.0,0.0,0.0,Stable
2054,2.3306666666666667,3.5165754691607334,1.508828147523198,Noisy
1584,1.0,0.0,0.0,Stable
665,1.0006944444444446,0.02635231383473652,0.026334026316461197,Stable
1461,1.0013888888888889,0.05270462766947299,0.052631528324577743,Stable
882,1.0006944444444446,0.026352313834736518,0.026334026316461194,Stable
718,1.0006944444444446,0.026352313834736518,0.026334026316461194,Stable
1844,1.0104166666666667,0.2620862336801422,0.25938431374529536,Noisy
1536,1.0013888888888889,0.052704627669472974,0.05263152832457773,Stable
642,1.1916666666666667,2.1921427698847595,1.8395603663368612,Noisy
1810,1.0,0.0,0.0,Stable
899,576.2451388888888,346.8040087379335,0.6018341593416964,Noisy
568,2.0,0.0,0.0,Stable
297,5.048447204968944,4.384378442507233,0.8684607889316739,Noisy
8,459.99773242630386,493.50407757060935,1.0728402398150376,Noisy
1587,434.70535714285717,250.447226585514,0.5761309872774574,Noisy
1269,1.0,0.0,0.0,Stable
979,1.0481283422459893,0.21461198946087642,0.20475735729175457,Noisy
1926,2.0,0.0,0.0,Stable
1002,1.0092592592592593,0.09622504486493759,0.09534224628819504,Stable
328,1.9230769230769231,0.269069117598525,0.139915941151233,Stable
437,1.3866666666666667,0.7924701562493449,0.5714929011413545,Noisy
625,1.96,0.1979486637221574,0.10099421618477418,Stable
1145,27.38035019455253,25.25323126767244,0.9223122088736727,Noisy
127,22.95514950166113,7.173747863904258,0.3125114852066259,Noisy
1264,1.0,0.0,0.0,Stable
2000,2.052023121387283,1.0968513352491143,0.534521918304498,Noisy
955,1.0,0.0,0.0,Stable
904,11.615384615384615,1.9424121342234482,0.16722753473446905,Noisy
495,40.98893805309734,288.45724340506115,7.037441248938719,Noisy
126,1.676595744680851,0.582586615825561,0.3474818647690529,Noisy
1629,5.904587155963303,14.579462699146035,2.4691756280405808,Noisy
1419,1.0013888888888889,0.05270462766947299,0.052631528324577743,Stable
1328,1.0,0.0,0.0,Stable
1615,1.0020833333333334,0.05890918323448156,0.05878671092006475,Stable
1681,4.003472222222222,0.06965934627315151,0.017399732633710006,Stable
2145,8.698880976602238,9.379358797661444,1.0782259031810548,Noisy
671,1.336111111111111,0.47547366546188113,0.35586386604215636,Noisy
2013,1.0020833333333334,0.04561181649562507,0.0455169894343036,Stable
801,1.0020833333333334,0.058909183234481535,0.058786710920064725,Stable
1846,1.0013888888888889,0.05270462766947299,0.052631528324577743,Stable
2306,1.0,0.0,0.0,Stable
1142,1.0013888888888889,0.05270462766947299,0.052631528324577743,Stable
1384,1.0041666666666667,0.07444489966059484,0.07413599966200315,Stable
902,1.0,0.0,0.0,Stable
691,1.0013888888888889,0.05270462766947299,0.052631528324577743,Stable
